./mergedHard/NEQ_getSignEQ_odd/libA   #: not equiv
./mergedHard/NEQ_getSignEQ_odd/libB   #: not equiv
./mergedHard/NEQ_getSignEQ_pos2/libA  #: not equiv
./mergedHard/NEQ_getSignEQ_pos2/libB  #: equiv
./mergedHard/NEQ_getSignEQ_is_prime2/libA #: not equiv
./mergedHard/NEQ_getSignEQ_is_prime2/libB #: not equiv
./mergedHard/NEQ_getSignEQ_pos/libA   #: not equiv
./mergedHard/NEQ_getSignEQ_pos/libB   #: not equiv
./mergedHard/NEQ_getSignEQ_UnchLoop/libA #: not equiv
./mergedHard/NEQ_getSignEQ_UnchLoop/libB #: equiv
./mergedHard/NEQ_getSignEQ_LoopMult20/libA #: not equiv
./mergedHard/NEQ_getSignEQ_LoopMult20/libB #: equiv
./mergedHard/NEQ_getSignEXTRA_prime_sum/libA #: not equiv
./mergedHard/NEQ_getSignEXTRA_prime_sum/libB #: not equiv
./mergedHard/NEQ_getSignEXTRA_ultra_prime_sum/libA #: not equiv
./mergedHard/NEQ_getSignEXTRA_ultra_prime_sum/libB #: not equiv
./mergedHard/NEQ_LoopUnreach20EQ_odd/libA #: not equiv
./mergedHard/NEQ_LoopUnreach20EQ_odd/libB #: not equiv
./mergedHard/NEQ_LoopUnreach20EQ_pos2/libA #: not equiv
./mergedHard/NEQ_LoopUnreach20EQ_pos2/libB #: equiv
./mergedHard/NEQ_LoopUnreach20EQ_is_prime2/libA #: not equiv
./mergedHard/NEQ_LoopUnreach20EQ_is_prime2/libB #: not equiv
./mergedHard/NEQ_LoopUnreach20EQ_pos/libA #: not equiv
./mergedHard/NEQ_LoopUnreach20EQ_pos/libB #: not equiv
./mergedHard/NEQ_LoopUnreach20EQ_UnchLoop/libA #: not equiv
./mergedHard/NEQ_LoopUnreach20EQ_UnchLoop/libB #: equiv
./mergedHard/NEQ_LoopUnreach20EQ_LoopMult20/libA #: not equiv
./mergedHard/NEQ_LoopUnreach20EQ_LoopMult20/libB #: equiv
./mergedHard/NEQ_LoopUnreach20EXTRA_prime_sum/libA #: not equiv
./mergedHard/NEQ_LoopUnreach20EXTRA_prime_sum/libB #: not equiv
./mergedHard/NEQ_LoopUnreach20EXTRA_ultra_prime_sum/libA #: not equiv
./mergedHard/NEQ_LoopUnreach20EXTRA_ultra_prime_sum/libB #: not equiv
./mergedHard/NEQ_LoopMult20EQ_odd/libA #: not equiv
./mergedHard/NEQ_LoopMult20EQ_odd/libB #: not equiv
./mergedHard/NEQ_LoopMult20EQ_pos2/libA #: not equiv
./mergedHard/NEQ_LoopMult20EQ_pos2/libB #: equiv
